variable,path,filename,datetime,date,year,month,day,hour_utc,minute_utc,second_utc,local_utc_offset_hours,local_hour,time_bin,parsed_token,date_parse_method,date_parse_ok,crs,epsg,original_width,original_height,driver,dtype,nodata,bounds,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent,pixel_size_x,pixel_size_y,aoi_footprint_pixel_count,read_ok,error,footprint_fraction_of_full_aoi
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20210626T044020_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20210626T044020_aid0001_32N.tif,2021-06-26T04:40:20,2021-06-26,2021,6,26,4,40,20,2,6.0,morning,20210626T044020,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0707845166325569,-0.0142483357340097,-0.0621883943676948,0.7444008588790894,0.2110191285610199,-0.0577147491276264,-0.0342889465391635,0.0311837922781705,0.5795220732688904,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20210627T035322_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20210627T035322_aid0001_32N.tif,2021-06-27T03:53:22,2021-06-27,2021,6,27,3,53,22,2,5.0,morning,20210627T035322,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.021714799106121,0.0223828516900539,0.0009988022502511,0.0223828721791505,0.0031055943109095,0.0204820781946182,0.0223822053521871,0.022382853552699,0.0223828703165054,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20210627T035322_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20210627T035322_aid0001_32N.tif,2021-06-27T03:53:22,2021-06-27,2021,6,27,3,53,22,2,5.0,morning,20210627T035322,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0720915272831916,-0.0142483357340097,-0.0621883943676948,0.7494491934776306,0.2141774147748947,-0.0577147491276264,-0.0342889465391635,0.0311837922781705,0.59199059009552,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20220604T163858_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20220604T163858_aid0001_32N.tif,2022-06-04T16:38:58,2022-06-04,2022,6,4,16,38,58,2,18.0,evening,20220604T163858,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0299999974668025,0.0299999993294477,0.0299999993294477,0.0299999993294477,1.862645149230957e-09,0.0299999993294477,0.0299999993294477,0.0299999993294477,0.0299999993294477,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20220604T163858_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20220604T163858_aid0001_32N.tif,2022-06-04T16:38:58,2022-06-04,2022,6,4,16,38,58,2,18.0,evening,20220604T163858,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.2999999225139618,0.3000000119209289,0.3000000119209289,0.3000000119209289,8.940696716308595e-08,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20220614T083516_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20220614T083516_aid0001_32N.tif,2022-06-14T08:35:16,2022-06-14,2022,6,14,8,35,16,2,10.0,morning,20220614T083516,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0326096415519714,0.0346410162746906,0.0182638354599475,0.0346410162746906,0.0049978792667388,0.0190649572759866,0.0346410162746906,0.0346410162746906,0.0346410162746906,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20220614T083516_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20220614T083516_aid0001_32N.tif,2022-06-14T08:35:16,2022-06-14,2022,6,14,8,35,16,2,10.0,morning,20220614T083516,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.3224520683288574,0.3000000119209289,0.2363033890724182,0.5534578561782837,0.0646440759301185,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.5028329491615295,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20220618T115009_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20220618T115009_aid0001_32N.tif,2022-06-18T11:50:09,2022-06-18,2022,6,18,11,50,9,2,13.0,midday_afternoon,20220618T115009,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0365554429590702,0.0399999991059303,0.0114531135186553,0.0399999991059303,0.0086367493495345,0.0130629129707813,0.0399999991059303,0.0399999991059303,0.0399999991059303,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20220618T115009_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20220618T115009_aid0001_32N.tif,2022-06-18T11:50:09,2022-06-18,2022,6,18,11,50,9,2,13.0,midday_afternoon,20220618T115009,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.3348815441131592,0.3000000119209289,0.3000000119209289,0.6024028658866882,0.0845261141657829,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.5444855690002441,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20220622T052302_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20220622T052302_aid0001_32N.tif,2022-06-22T05:23:02,2022-06-22,2022,6,22,5,23,2,2,7.0,morning,20220622T052302,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0398452430963516,0.0447213612496852,0.00737558118999,0.0447213612496852,0.0108873173594474,0.0080716172233223,0.0425712540745735,0.0447213612496852,0.0447213612496852,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20220622T052302_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20220622T052302_aid0001_32N.tif,2022-06-22T05:23:02,2022-06-22,2022,6,22,5,23,2,2,7.0,morning,20220622T052302,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.3285293579101562,0.3000000119209289,0.2082396149635315,0.7344253659248352,0.1226499676704406,0.2131931781768798,0.3000000119209289,0.3000000119209289,0.6277718544006348,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20220627T074953_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20220627T074953_aid0001_32N.tif,2022-06-27T07:49:53,2022-06-27,2022,6,27,7,49,53,2,9.0,morning,20220627T074953,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.047114048153162,0.0477095991373062,0.0009994971333071,0.0693582743406295,0.012984100729227,0.0009998782770708,0.0471292920410633,0.0513055622577667,0.0605412237346172,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20220627T074953_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20220627T074953_aid0001_32N.tif,2022-06-27T07:49:53,2022-06-27,2022,6,27,7,49,53,2,9.0,morning,20220627T074953,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.2484462857246399,0.2002552598714828,0.1686014235019683,0.6011449098587036,0.113436222076416,0.1766063868999481,0.1900883615016937,0.2328908592462539,0.5594963431358337,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20230603T124450_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20230603T124450_aid0001_32N.tif,2023-06-03T12:44:50,2023-06-03,2023,6,3,12,44,50,2,14.0,midday_afternoon,20230603T124450,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0103883491829037,0.0100494837388396,0.0008777099428698,0.0211164467036724,0.0036019866820424,0.0030365246348083,0.0100494818761944,0.01004952006042,0.01776641048491,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20230603T124450_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20230603T124450_aid0001_32N.tif,2023-06-03T12:44:50,2023-06-03,2023,6,3,12,44,50,2,14.0,midday_afternoon,20230603T124450,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",-0.0009367844322696,-0.0730971172451973,-0.1291905790567398,0.6849144101142883,0.1865422278642654,-0.1191285401582717,-0.0910674780607223,-0.0493738576769828,0.4437138438224792,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20230612T083817_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20230612T083817_aid0001_32N.tif,2023-06-12T08:38:17,2023-06-12,2023,6,12,8,38,17,2,10.0,morning,20230612T083817,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0147778075188398,0.0141771901398897,0.0008812435553409,0.0261536072939634,0.0067313401959836,0.0009022091981023,0.0141771649941802,0.0195794031023979,0.0240324474871158,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20230612T083817_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20230612T083817_aid0001_32N.tif,2023-06-12T08:38:17,2023-06-12,2023,6,12,8,38,17,2,10.0,morning,20230612T083817,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.037754476070404,-0.0332508571445941,-0.0959420651197433,0.6966734528541565,0.1934036463499069,-0.085196740925312,-0.0664289519190788,-0.000997174764052,0.4862923622131347,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20230613T124005_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20230613T124005_aid0001_32N.tif,2023-06-13T12:40:05,2023-06-13,2023,6,13,12,40,5,2,14.0,midday_afternoon,20230613T124005,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0179370921105146,0.0173491369932889,0.0063010454177856,0.0268808212131261,0.0052127428352832,0.0071410178206861,0.0173491165041923,0.0217713024467229,0.0251887664198875,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20230613T124005_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20230613T124005_aid0001_32N.tif,2023-06-13T12:40:05,2023-06-13,2023,6,13,12,40,5,2,14.0,midday_afternoon,20230613T124005,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0444820299744606,-0.0327341184020042,-0.0959377288818359,0.7098857760429382,0.2065631300210952,-0.0851845294237136,-0.0664326325058937,0.0001308583887293,0.5472702980041504,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20230616T115022_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20230616T115022_aid0001_32N.tif,2023-06-16T11:50:22,2023-06-16,2023,6,16,11,50,22,2,13.0,midday_afternoon,20230616T115022,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0231019333004951,0.0245151352137327,0.00630071060732,0.028909957036376,0.0067470367066562,0.007140988484025,0.0245151240378618,0.0272283982485532,0.0283218305557966,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20230616T115022_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20230616T115022_aid0001_32N.tif,2023-06-16T11:50:22,2023-06-16,2023,6,16,11,50,22,2,13.0,midday_afternoon,20230616T115022,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0555918961763381,-0.0305484719574451,-0.0959156453609466,0.7195191383361816,0.2228017896413803,-0.0851028710603714,-0.0664559751749038,0.0122925238683819,0.6102067232131958,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20230619T110056_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20230619T110056_aid0001_32N.tif,2023-06-19T11:00:56,2023-06-19,2023,6,19,11,0,56,2,13.0,midday_afternoon,20230619T110056,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0364663861691951,0.0299999993294477,0.0299999993294477,0.1018989011645317,0.0169325955212116,0.0299999993294477,0.0299999993294477,0.0299999993294477,0.0819699615240097,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20230619T110056_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20230619T110056_aid0001_32N.tif,2023-06-19T11:00:56,2023-06-19,2023,6,19,11,0,56,2,13.0,midday_afternoon,20230619T110056,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.3441498577594757,0.3000000119209289,0.3000000119209289,0.9594335556030272,0.1214160397648811,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.5925175547599792,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20230630T065541_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20230630T065541_aid0001_32N.tif,2023-06-30T06:55:41,2023-06-30,2023,6,30,6,55,41,2,8.0,morning,20230630T065541,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0221605505794286,0.0223828386515378,0.0200179442763328,0.0257174707949161,0.0010864846408367,0.0200190152972936,0.0223828386515378,0.022382840514183,0.0223828647285699,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20230630T065541_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20230630T065541_aid0001_32N.tif,2023-06-30T06:55:41,2023-06-30,2023,6,30,6,55,41,2,8.0,morning,20230630T065541,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.1133843660354614,0.0378480106592178,-0.0608585029840469,0.7376387119293213,0.185535043478012,-0.00982082542032,0.0190188959240913,0.0869725942611694,0.5614216327667236,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20240617T063723_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20240617T063723_aid0001_32N.tif,2024-06-17T06:37:23,2024-06-17,2024,6,17,6,37,23,2,8.0,morning,20240617T063723,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0299999974668025,0.0299999993294477,0.0299999993294477,0.0299999993294477,1.862645149230957e-09,0.0299999993294477,0.0299999993294477,0.0299999993294477,0.0299999993294477,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20240617T063723_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20240617T063723_aid0001_32N.tif,2024-06-17T06:37:23,2024-06-17,2024,6,17,6,37,23,2,8.0,morning,20240617T063723,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.2999999225139618,0.3000000119209289,0.3000000119209289,0.3000000119209289,8.940696716308595e-08,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20240619T050048_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20240619T050048_aid0001_32N.tif,2024-06-19T05:00:48,2024-06-19,2024,6,19,5,0,48,2,7.0,morning,20240619T050048,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0256803091615438,0.0299999993294477,0.0009960946626961,0.0299999993294477,0.0103260315954685,0.0009964845376089,0.0299999993294477,0.0299999993294477,0.0299999993294477,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20240619T050048_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20240619T050048_aid0001_32N.tif,2024-06-19T05:00:48,2024-06-19,2024,6,19,5,0,48,2,7.0,morning,20240619T050048,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.3233425319194793,0.3000000119209289,0.2004975527524948,0.6819825172424316,0.0715546011924743,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.4696350693702698,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20240628T055252_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20240628T055252_aid0001_32N.tif,2024-06-28T05:52:52,2024-06-28,2024,6,28,5,52,52,2,7.0,morning,20240628T055252,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0299201104789972,0.0299999993294477,0.0287779346108436,0.0299999993294477,0.0002702640776988,0.0291665736585855,0.0299999993294477,0.0299999993294477,0.0299999993294477,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20240628T055252_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20240628T055252_aid0001_32N.tif,2024-06-28T05:52:52,2024-06-28,2024,6,28,5,52,52,2,7.0,morning,20240628T055252,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.3072754740715027,0.3000000119209289,0.3000000119209289,0.4312945306301117,0.0253025647252798,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3676449656486511,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20250606T135544_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20250606T135544_aid0001_32N.tif,2025-06-06T13:55:44,2025-06-06,2025,6,6,13,55,44,2,15.0,midday_afternoon,20250606T135544,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0255001094192266,0.0247175246477127,0.0245095342397689,0.0295559521764516,0.0015512426616623,0.0245096124708652,0.0245105102658271,0.0254444889724254,0.0291049983352422,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20250606T135544_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20250606T135544_aid0001_32N.tif,2025-06-06T13:55:44,2025-06-06,2025,6,6,13,55,44,2,15.0,midday_afternoon,20250606T135544,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",-0.0072606429457664,-0.1019447520375251,-0.1255256533622741,0.7221121191978455,0.2225444763898849,-0.1216592639684677,-0.1143699884414672,-0.0701236054301261,0.5216613411903381,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20250621T081538_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20250621T081538_aid0001_32N.tif,2025-06-21T08:15:38,2025-06-21,2025,6,21,8,15,38,2,10.0,morning,20250621T081538,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0371921174228191,0.0453198179602623,0.0009916953276842,0.0464123152196407,0.0156922880560159,0.0009924588957801,0.032395776361227,0.0457354523241519,0.0460785403847694,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20250621T081538_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20250621T081538_aid0001_32N.tif,2025-06-21T08:15:38,2025-06-21,2025,6,21,8,15,38,2,10.0,morning,20250621T081538,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0407102964818477,-0.0368149206042289,-0.1176861226558685,0.7170140743255615,0.2156652808189392,-0.1077422872185707,-0.0672044828534126,-0.0103018600493669,0.5513211488723755,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
